player_id_cat,gender,date,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum
50,female,2013-09-14,117,0,1351,1234,-117,117,0,1767
50,female,2013-09-15,117,0,320,202,-118,118,0,849
50,female,2013-09-17,148,0,1648,1500,-148,148,0,3667
50,female,2013-09-18,117,0,808,691,-117,117,21,1238
50,female,2013-09-20,117,0,204,87,-117,117,0,385
50,female,2013-09-21,117,0,735,618,-117,117,0,4893
50,female,2013-09-22,352,586,3663,3898,235,-235,0,3772
50,female,2013-09-23,352,0,595,243,-352,353,0,1012
50,female,2013-09-24,177,0,323,147,-176,177,0,539
50,female,2013-09-26,147,294,1146,1295,149,-149,0,1112
50,female,2013-09-27,177,294,1798,1914,116,-129,0,1930
50,female,2013-09-28,176,0,289,113,-176,176,7,2502
50,female,2013-09-29,117,0,992,875,-117,115,0,1637
50,female,2013-09-30,117,0,133,16,-117,117,47,470
50,female,2013-10-01,117,0,1091,974,-117,117,0,2068
50,female,2013-10-03,116,0,139,23,-116,116,21,558
50,female,2013-10-04,116,0,1518,1645,127,-136,0,1828
50,female,2013-10-06,145,581,3311,3505,194,-201,0,2625
50,female,2013-10-09,173,0,265,91,-174,174,0,429
50,female,2013-10-18,145,0,183,38,-145,145,25,465
50,female,2013-10-19,146,583,630,1069,439,-439,0,1069
50,female,2013-10-21,146,466,2566,2884,318,-319,0,2612
50,female,2013-10-22,146,292,2163,2308,145,-146,7,3161
50,female,2013-10-24,205,439,787,1024,237,-237,0,1123
50,female,2013-10-25,146,0,1273,1124,-149,149,0,1967
50,female,2013-10-27,117,0,1705,1606,-99,96,0,2262
50,female,2013-10-28,88,0,416,327,-89,88,0,765
50,female,2013-10-29,117,0,257,122,-135,132,29,671
50,female,2013-11-01,175,0,695,812,117,-118,0,1257
50,female,2013-11-02,0,0,526,236,-290,291,49,1197
50,female,2013-11-07,118,0,263,145,-118,113,0,1119
50,female,2013-11-09,235,0,680,445,-235,235,0,1371
50,female,2013-11-10,176,0,548,371,-177,177,0,878
50,female,2013-11-12,147,0,578,431,-147,131,15,984
50,female,2013-11-13,117,0,863,747,-116,117,0,1840
50,female,2013-11-15,236,0,411,175,-236,236,0,872
50,female,2013-11-16,118,0,377,259,-118,118,0,853
50,female,2013-11-17,147,0,309,162,-147,147,24,532
50,female,2013-11-25,178,0,670,492,-178,178,8,1035
50,female,2013-12-01,179,894,1064,1785,721,-721,0,844
50,female,2013-12-02,149,0,359,205,-154,155,0,417
50,female,2013-12-03,119,297,1346,1526,180,-180,0,3132
50,female,2013-12-04,149,0,173,22,-151,151,0,424
50,female,2013-12-06,119,0,557,438,-119,119,0,789
50,female,2013-12-07,239,0,559,319,-240,240,0,1398
50,female,2013-12-15,180,0,237,56,-181,180,42,488
50,female,2013-12-17,120,0,225,105,-120,120,0,518
50,female,2013-12-19,120,0,255,136,-119,119,0,728
50,female,2013-12-23,121,0,883,764,-119,119,0,4184
50,female,2013-12-28,120,0,2187,2065,-122,121,0,4436
50,female,2013-12-29,90,0,91,0,-91,91,0,2243
52,female,2013-12-20,241,0,940,699,-241,241,0,7118
52,female,2013-12-23,0,0,0,0,0,0,0,1893
