player_id_cat,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum,female,male
2253,299,0,625,326,-299,299,2,16129,1.0,0.0
2254,145,0,527,353,-174,145,32,3741,0.0,1.0
2255,39,0,131,92,-39,39,21,10435,0.0,1.0
2256,208,91,234,117,-117,117,0,3135,1.0,0.0
2258,2212,3418,11655,12862,1207,-1206,145,119000,1.0,0.0
2262,1058,1381,4750,5077,327,-325,65,101865,0.0,1.0
2263,75682,73975,301147,299627,-1520,527,1211,3952096,0.0,1.0
2265,297,0,1389,1091,-298,235,0,21626,1.0,0.0
2266,447,0,2528,2072,-456,448,0,15802,0.0,1.0
2267,1168,389,11808,11027,-781,761,47,68450,0.0,1.0
2272,609,0,950,341,-609,609,0,8839,0.0,1.0
2274,30,0,156,126,-30,22,0,5520,1.0,0.0
2277,116,87,180,150,-30,28,0,3653,0.0,1.0
2278,59,0,83,24,-59,54,34,5342,1.0,0.0
2279,436,0,1129,692,-437,386,151,21185,1.0,0.0
2280,73,0,151,62,-89,72,0,3699,0.0,1.0
2281,2064,1037,27814,26787,-1027,1026,0,61252,1.0,0.0
2282,149,0,564,416,-148,117,0,3125,0.0,1.0
2284,119,0,181,62,-119,119,0,4552,1.0,0.0
2285,60,134,181,269,88,-102,166,58356,0.0,1.0
2286,1759,1293,7968,7503,-465,457,0,56235,0.0,1.0
2287,116,0,547,482,-65,45,22,5836,1.0,0.0
2288,88,0,440,352,-88,88,44,5488,0.0,1.0
2289,6456,603,179681,173837,-5844,5843,74,231105,0.0,1.0
2292,2074,2357,5083,5368,285,-285,12,53956,0.0,1.0
2293,59,0,116,58,-58,58,0,4800,0.0,1.0
2294,87,436,291,639,348,-349,0,8543,0.0,1.0
2295,59,134,205,280,75,-75,22,942,1.0,0.0
2298,29535,17331,147934,135728,-12206,12202,161,313145,1.0,0.0
2299,6662,12660,12256,18254,5998,-5998,39,69960,1.0,0.0
2300,45,0,63,18,-45,45,0,2560,0.0,1.0
2302,545,146,1651,1255,-396,393,68,34085,1.0,0.0
2303,12537,6232,109873,103416,-6457,6302,106,588490,1.0,0.0
2304,674,0,4892,4219,-673,674,0,34372,1.0,0.0
2305,119,296,3782,3959,177,-213,45,12828,1.0,0.0
2307,59,0,198,140,-58,58,0,9288,1.0,0.0
2308,21313,17445,105983,101552,-4431,3989,437,542208,0.0,1.0
2309,429,0,987,558,-429,427,0,15193,0.0,1.0
2311,88,0,331,242,-89,88,42,10588,0.0,1.0
2315,43711,0,272540,227624,-44916,43742,0,58716,0.0,1.0
